keys,English,Русский
Продолжить,Resume,Продолжить
Настройки,Settings,Настройки
Выйти в меню,Exit to menu,Выйти в меню
Игра окончена,Game over,Игра окончена
"Чё, самый умный?","The smart one, huh?","Чё, самый умный?"
Управление,Controls,Управление
Пауза,Pause,Пауза
Выйти,Exit,Выйти
Музыка,Music,Музыка
Включено,On,Включено
Выключено,Off,Выключено
Язык,Language,Язык
Счёт,Score,Счёт
Выйти,Exit,Выйти
Главное меню,Main menu,Главное меню
Играть снова,Play again,Играть снова
Играть сначала,Play again,Играть сначала
Заново,Play again,Заново
Рестарт,Restart,Рестарт
Рекорд,High score,Рекорд
Аудио,Audio,Аудио
Музыка,Music,Музыка
Громкость,Volume,Громкость
"Перемещение: W, A, S, D","Movement: W, A, S, D","Перемещение: W, A, S, D"
"Нажмите ""Пробел"", чтобы пропустить","Press ""Space"" to skip","Нажмите ""Пробел"", чтобы пропустить"
Атака: ЛКМ/ПКМ,Attack: LMC/RMC,Атака: ЛКМ/ПКМ
Меню,Menu,Меню
Назад,Back,Назад
"Перемещение — W, A, S, D","Movement — W, A, S, D","Перемещение — W, A, S, D"
"Пауза, назад (в меню): Esc","Pause, back (in menu): Esc","Пауза, назад (в меню): Esc"
Громкость музыки,Music volume,Громкость музыки
Общая громкость,Master volume,Общая громкость
Текст,Text,Текст
